epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,333.075,1.7722,1.58401,1.09868,0.37822,0.29774,0.3107,0.15016,1.55396,1.19809,1.07539,0.000476174,0.000476174,0.000476174
2,700.599,1.65299,1.20527,1.06307,0.385,0.38769,0.35852,0.17672,1.50643,1.0422,1.06148,0.000921075,0.000921075,0.000921075
3,2221.54,1.5964,1.08224,1.04798,0.73135,0.33047,0.37592,0.19166,1.42515,0.94976,1.04541,0.00133454,0.00133454,0.00133454
4,2659.4,1.54066,1.04352,1.03674,0.49398,0.39564,0.39678,0.19984,1.41191,0.93624,1.03637,0.00128753,0.00128753,0.00128753
5,3120.97,1.51127,1.01859,1.02392,0.44833,0.41198,0.40325,0.20825,1.35784,0.8764,1.01166,0.00124037,0.00124037,0.00124037
6,3611.77,1.46315,0.96166,1.0076,0.56802,0.36729,0.40621,0.21208,1.30534,0.86496,1.00097,0.00119322,0.00119322,0.00119322
7,4100.57,1.43745,0.93588,1.00113,0.59152,0.3676,0.40477,0.20888,1.33938,0.86387,1.0081,0.00114606,0.00114606,0.00114606
8,4598.68,1.43625,0.94948,0.99738,0.4793,0.45196,0.43751,0.23115,1.28279,0.81173,0.99194,0.0010989,0.0010989,0.0010989
9,5070.52,1.41081,0.92198,0.99074,0.52582,0.43167,0.45273,0.24005,1.24991,0.80431,0.9891,0.00105174,0.00105174,0.00105174
10,5521.28,1.37609,0.88102,0.98685,0.55424,0.42622,0.45226,0.23963,1.27184,0.80981,0.98828,0.00100459,0.00100459,0.00100459
11,5971.4,1.35606,0.86304,0.98036,0.51826,0.45633,0.46488,0.25327,1.23897,0.76943,0.98005,0.00095743,0.00095743,0.00095743
12,6413.83,1.33173,0.84453,0.97357,0.58049,0.4508,0.48049,0.26094,1.2181,0.74081,0.97635,0.000910273,0.000910273,0.000910273
13,6857.39,1.3203,0.83198,0.9674,0.5599,0.48168,0.48273,0.26154,1.21551,0.75561,0.97913,0.000863116,0.000863116,0.000863116
14,7300.34,1.30554,0.82573,0.96307,0.54081,0.44973,0.47637,0.25863,1.19333,0.74379,0.96712,0.000815959,0.000815959,0.000815959
15,7741.99,1.29471,0.81942,0.95939,0.58587,0.45121,0.48869,0.26885,1.16084,0.71958,0.9625,0.000768802,0.000768802,0.000768802
16,8125.23,1.28042,0.80485,0.95546,0.6131,0.44883,0.49344,0.27495,1.15652,0.69997,0.9611,0.000721645,0.000721645,0.000721645
17,9344.35,1.27191,0.7889,0.95422,0.56228,0.48882,0.50068,0.27922,1.15747,0.70976,0.95758,0.000674488,0.000674488,0.000674488
18,10001.1,1.25245,0.77983,0.95147,0.57559,0.48069,0.49681,0.27677,1.1489,0.70289,0.95655,0.000627331,0.000627331,0.000627331
19,13621,1.2489,0.77151,0.94778,0.54395,0.48242,0.49959,0.27932,1.14442,0.69074,0.95389,0.000580174,0.000580174,0.000580174
20,13929.4,1.23512,0.76248,0.94397,0.53997,0.48992,0.50401,0.28405,1.12416,0.67912,0.95082,0.000533017,0.000533017,0.000533017
21,15172.8,1.2649,0.77234,0.92278,0.60415,0.45906,0.50645,0.28005,1.14281,0.69147,0.9574,0.00048586,0.00048586,0.00048586
22,22180.8,1.25078,0.75932,0.91979,0.5659,0.47974,0.50658,0.27988,1.14607,0.69079,0.95607,0.000438703,0.000438703,0.000438703
23,22474.1,1.23776,0.74163,0.91423,0.57778,0.46853,0.50599,0.2848,1.13274,0.68677,0.9528,0.000391546,0.000391546,0.000391546
24,22768,1.21447,0.72807,0.91236,0.57912,0.48739,0.51935,0.29223,1.11403,0.66472,0.94797,0.000344389,0.000344389,0.000344389
25,23083.3,1.20007,0.71729,0.90736,0.57548,0.49874,0.52091,0.29679,1.10862,0.65469,0.94693,0.000297232,0.000297232,0.000297232
26,23420,1.19058,0.6997,0.90629,0.60088,0.48288,0.52116,0.29919,1.09534,0.65408,0.94522,0.000250075,0.000250075,0.000250075
27,23749.6,1.18337,0.69775,0.90159,0.61288,0.5094,0.53913,0.30949,1.08719,0.64018,0.94204,0.000202918,0.000202918,0.000202918
28,33711.6,1.15734,0.68074,0.89934,0.58608,0.50827,0.53371,0.30847,1.08002,0.63844,0.94074,0.000155761,0.000155761,0.000155761
29,40499.1,1.14336,0.66978,0.89525,0.60624,0.51394,0.54002,0.31139,1.07413,0.62996,0.93699,0.000108604,0.000108604,0.000108604
30,43235.7,1.13613,0.66496,0.8934,0.59983,0.51777,0.53943,0.31469,1.0656,0.62681,0.93575,6.1447e-05,6.1447e-05,6.1447e-05
